chr strand tss gene
chr8 - 145754562 ARHGAP39
chrX - 153172829 ARHGAP4
chr11 + 100558406 ARHGAP42
chr14 + 32546494 ARHGAP5
chrX - 11155662 ARHGAP6
chr22 + 45148437 ARHGAP8
chr12 - 57866037 ARHGAP9
chr17 - 79825594 ARHGDIA
chr12 - 15094948 ARHGDIB
chr16 + 330605 ARHGDIG
chr19 + 42387266 ARHGEF1
chr8 + 1772141 ARHGEF10
chr1 + 17866329 ARHGEF10L
chr1 - 156904631 ARHGEF11
chr11 + 120207617 ARHGEF12
chr17 + 8213555 ARHGEF15
chr1 + 3371146 ARHGEF16
chr11 + 73019662 ARHGEF17
chr19 + 7504573 ARHGEF18
chr1 - 16524348 ARHGEF19
chr1 - 155916629 ARHGEF2
chr3 - 56761445 ARHGEF3
chr2 + 39146503 ARHGEF33
chr7 - 143883175 ARHGEF35
chr5 + 148961134 ARHGEF37
chr4 + 106473776 ARHGEF38
chr2 + 131674969 ARHGEF4
chr7 + 144052488 ARHGEF5
chrX - 135747711 ARHGEF6
chr13 + 111805993 ARHGEF7
chrX - 62854847 ARHGEF9
chr1 + 27022521 ARID1A
chr6 + 157098988 ARID1B
chr12 + 46123491 ARID2
chr19 + 926036 ARID3A
chr15 + 74833517 ARID3B
chr9 - 34621454 ARID3C
chr14 + 58765221 ARID4A
chr1 - 235330209 ARID4B
chr2 + 97203615 ARID5A
chr10 + 63808969 ARID5B
chr15 + 72766666 ARIH1
chr3 + 48956252 ARIH2
chr12 - 101786897 ARL1
chr5 + 175792470 ARL10
chr13 + 50202434 ARL11
chrX + 100224696 ARL13A
chr3 + 93698982 ARL13B
chr3 + 160394947 ARL14
chr5 - 53180613 ARL15
chr17 - 79648194 ARL16
chr17 - 44376499 ARL17A
chr17 - 44376912 ARL17B
chr11 + 64781584 ARL2
chr16 + 57279037 ARL2BP
chr10 - 104433483 ARL3
chr7 + 12726910 ARL4A
chr2 - 235401685 ARL4C
chr17 + 41476352 ARL4D
chr2 - 152657479 ARL5A
chr10 + 18948312 ARL5B
chr17 - 37313146 ARL5C
chr3 + 97483364 ARL6
chr16 - 18802988 ARL6IP1
chr12 + 123464606 ARL6IP4
chr3 + 69134089 ARL6IP5
chr2 + 153574406 ARL6IP6
chr1 - 202102531 ARL8A
chr3 + 5163929 ARL8B
chr4 + 57371374 ARL9
chr8 - 66514690 ARMC1
chr7 + 102715327 ARMC10
chr6 + 109169618 ARMC2
chr10 + 23216952 ARMC3
chr10 - 28101092 ARMC4
chr16 + 31469593 ARMC5
chr19 + 19144386 ARMC6
chr17 + 73106046 ARMC7
chr3 + 137906089 ARMC8
chr2 + 232063259 ARMC9
chrX + 100805513 ARMCX1
chrX - 100910267 ARMCX2
chrX + 100878119 ARMCX3
chrX + 101854425 ARMCX5
chrX - 100870107 ARMCX6
chr10 + 124214178 ARMS2
chr1 - 150782180 ARNT
chr15 + 80696691 ARNT2
chr11 + 13299273 ARNTL
chr12 + 27485786 ARNTL2
chr7 + 98923495 ARPC1A
chr7 + 98972297 ARPC1B
chr2 + 219081816 ARPC2
chr12 - 110872694 ARPC3
chr3 + 9834231 ARPC4
chr1 - 183595327 ARPC5
chr9 + 127624396 ARPC5L
chr15 - 52839241 ARPP19
chr3 + 35722428 ARPP21
chrX + 69488184 ARR3
chr11 - 74971165 ARRB1
chr17 + 4613788 ARRB2
chr9 + 140500091 ARRDC1
chr19 + 18111940 ARRDC2
chr5 - 90664448 ARRDC3
chr15 + 98503932 ARRDC4
chr19 - 4890448 ARRDC5
chr22 - 51061181 ARSA
chr5 - 78073036 ARSB
chrX - 2831654 ARSD
chrX - 2852672 ARSE
chrX + 2958274 ARSF
chr17 + 66255322 ARSG
chrX + 2924653 ARSH
chr5 - 149675901 ARSI
chr4 - 114821439 ARSJ
chr5 + 94890824 ARSK
chr11 + 3666360 ART1
chr4 + 76932332 ART3
chr12 - 14982244 ART4
chr11 - 3659735 ART5
chr1 + 44398991 ARTN
chr1 + 231114794 ARV1
chr22 - 19957401 ARVCF
chrX - 25021812 ARX
chr10 + 104629209 AS3MT
chr8 - 17913807 ASAH1
chr10 - 51946999 ASAH2
chr10 + 52499447 ASAH2B
chr8 - 131064350 ASAP1
chr2 + 9346893 ASAP2
chr1 - 23755055 ASAP3
chr2 + 239335568 ASB1
chr7 - 150872784 ASB10
chrX - 15299830 ASB11
chrX - 63444071 ASB12
chr10 - 5680819 ASB13
chr3 - 57302378 ASB14
chr7 + 123241920 ASB15
chr17 + 42248073 ASB16
chr1 - 76384557 ASB17
chr2 - 237102094 ASB18
chr14 - 94400498 ASB2
chr2 - 53897116 ASB3
chr7 + 95115212 ASB4
chr4 - 177134825 ASB5
chr9 - 132396882 ASB6
chr15 + 101142754 ASB7
chr12 - 48541570 ASB8
chrX - 15262108 ASB9
chr10 - 73855789 ASCC1
chr22 - 30184596 ASCC2
chr6 - 100956070 ASCC3
chr12 + 103351451 ASCL1
chr11 - 2289727 ASCL2
chr11 - 8959118 ASCL3
chr12 + 108168161 ASCL4
chr6 + 119215240 ASF1A
chr19 - 14230320 ASF1B
chr17 - 7076750 ASGR1
chr17 - 7004640 ASGR2
chr1 - 155305051 ASH1L
chr8 + 37963010 ASH2L
chr20 + 32848170 ASIP
chr7 + 65540775 ASL
chrX + 1714347 ASMT
chrY - 1472031 ASMTL
chr19 + 12848272 ASNA1
chr7 - 97481428 ASNS
chr2 + 190526124 ASNSD1
chr17 + 3379295 ASPA
chr19 - 51014856 ASPDH
chr14 + 104552022 ASPG
chr8 - 62413114 ASPH
chr16 + 29912146 ASPHD1
chr22 + 26825279 ASPHD2
chr1 - 197053256 ASPM
chr9 - 95218488 ASPN
chr2 - 70187223 ASPRV1
chr17 + 79935425 ASPSCR1
chr11 + 62104773 ASRGL1
chr9 + 133320093 ASS1
chr3 - 130732716 ASTE1
chr2 - 96789588 ASTL
chr1 - 176830199 ASTN1
chr9 - 119187503 ASTN2
chr20 + 30946146 ASXL1
chr2 - 25956621 ASXL2
chr18 + 31158540 ASXL3
chr7 - 117003275 ASZ1
chr10 - 89511268 ATAD1
chr8 - 124332090 ATAD2
chr2 - 23971533 ATAD2B
chr1 + 1447909 ATAD3A
chr1 + 1407134 ATAD3B
chr1 + 1385068 ATAD3C
chr17 + 29158987 ATAD5
chr19 + 3880617 ATCAY
chr10 - 123499935 ATE1
chr12 + 51157788 ATF1
chr2 - 175936977 ATF2
chr1 + 212738675 ATF3
chr22 + 39916563 ATF4
chr19 + 50432399 ATF5
chr1 + 161736033 ATF6
chr6 - 32083044 ATF6B
chr12 - 53901639 ATF7
chr12 + 14518565 ATF7IP
chr16 + 10479911 ATF7IP2
chr5 + 81267843 ATG10
chr5 - 115163893 ATG12
chr2 + 234160216 ATG16L1
chr11 + 72525450 ATG16L2
chr11 - 64662003 ATG2A
chr14 - 96745538 ATG2B
chr3 - 112251353 ATG3
chrX + 107334896 ATG4A
chr2 + 242577026 ATG4B
chr1 + 63249776 ATG4C
chr19 + 10654569 ATG4D
chr6 - 106632351 ATG5
chr3 + 11314009 ATG7
chr2 - 220084101 ATG9A
chr7 - 150712238 ATG9B
chr2 + 216176678 ATIC
chr14 + 51026742 ATL1
chr2 - 38521098 ATL2
chr11 - 63391553 ATL3
chr11 + 108093558 ATM
chr16 + 81069457 ATMIN
chr12 + 7037479 ATN1
chr4 + 94750077 ATOH1
chr10 - 69990351 ATOH7
chr2 + 85980908 ATOH8
chr5 - 151122382 ATOX1
chr15 - 25923859 ATP10A
chr5 - 159990126 ATP10B
chr4 + 47487409 ATP10D
chr13 + 113344642 ATP11A
chr3 + 182511290 ATP11B
chrX - 138808504 ATP11C
chr13 + 25254548 ATP12A
chr19 - 19756009 ATP13A1
chr1 - 17312452 ATP13A2
chr3 - 194123402 ATP13A3
chr3 - 193116755 ATP13A4
chr3 - 192992830 ATP13A5
chr1 + 116915794 ATP1A1
chr1 + 160085519 ATP1A2
chr19 - 42470733 ATP1A3
chr1 + 160121351 ATP1A4
chr1 + 169075946 ATP1B1
chr17 + 7549944 ATP1B2
chr3 + 141595433 ATP1B3
chrX + 119495939 ATP1B4
chr16 + 28889808 ATP2A1
chr12 + 110719031 ATP2A2
chr17 - 3827162 ATP2A3
chr12 - 89981825 ATP2B1
chr3 - 10365706 ATP2B2
chrX + 152801579 ATP2B3
chr1 + 203595914 ATP2B4
chr3 + 130569368 ATP2C1
chr16 + 84402128 ATP2C2
chr19 - 36041094 ATP4A
chr13 - 114303121 ATP4B
chr18 - 43664109 ATP5A1
chr12 - 57031958 ATP5B
chr10 + 7830066 ATP5C1
chr19 + 1241748 ATP5D
chr20 - 57603732 ATP5E
chr13 + 28519342 ATP5EP2
chr1 + 111991742 ATP5F1
chr17 + 46970147 ATP5G1
chr12 - 54058943 ATP5G2
chr2 - 176040985 ATP5G3
chr17 - 73034954 ATP5H
chr4 - 666224 ATP5I
chr21 - 27096790 ATP5J
chr7 - 99055783 ATP5J2
chr11 + 118272103 ATP5L
chr22 - 43035808 ATP5L2
chr21 - 35275756 ATP5O
chr14 + 50779046 ATP5S
chr19 - 41937222 ATP5SL
chrX + 153656977 ATP6AP1
chr5 + 81575280 ATP6AP1L
chrX + 40440215 ATP6AP2
chr17 + 40610861 ATP6V0A1
chr12 + 124196864 ATP6V0A2
chr7 - 138391038 ATP6V0A4
chr1 + 44440319 ATP6V0B
chr16 + 2563726 ATP6V0C
chr16 - 67471916 ATP6V0D1
chr8 + 87111138 ATP6V0D2
chr5 + 172410762 ATP6V0E1
chr7 + 149570056 ATP6V0E2
chr3 + 113465865 ATP6V1A
chr2 + 71162997 ATP6V1B1
chr8 + 20054703 ATP6V1B2
chr8 + 104033247 ATP6V1C1
chr2 + 10861774 ATP6V1C2
chr14 - 67804580 ATP6V1D
chr22 - 18074902 ATP6V1E1
chr2 - 46738973 ATP6V1E2
chr7 + 128502856 ATP6V1F
chr9 + 117349993 ATP6V1G1
chr6 - 31512227 ATP6V1G2
chr1 - 198492351 ATP6V1G3
chr8 - 54628102 ATP6V1H
chrX + 77166152 ATP7A
chr13 - 52506805 ATP7B
chr4 - 42410391 ATP8A1
chr13 + 26042911 ATP8A2
chr18 - 55313658 ATP8B1
chr1 + 154298035 ATP8B2
chr19 - 1782073 ATP8B3
chr15 - 50150434 ATP8B4
chr9 + 35406751 ATP8B5P
chr20 - 50213313 ATP9A
chr18 + 76829274 ATP9B
chr1 - 47100710 ATPAF1
chr17 - 17921333 ATPAF2
chr1 + 28562601 ATPIF1
chr3 - 142168076 ATR
chr3 + 48488496 ATRIP
chr20 + 3451664 ATRN
chr10 + 116853123 ATRNL1
chrX - 76760355 ATRX
chr6 - 16299342 ATXN1
chr22 + 46067677 ATXN10
chr16 + 71879893 ATXN1L
chr12 - 111890017 ATXN2
chr16 + 28834368 ATXN2L
chr14 - 92524895 ATXN3
chrX - 13336767 ATXN3L
chr3 + 63884074 ATXN7
chr7 - 105400635 ATXN7L1
chr1 + 110026560 ATXN7L2
chr17 - 42269172 ATXN7L3
chr12 + 74931550 ATXN7L3B
chr13 + 70681344 ATXN8OS
chr9 - 93976096 AUH
chr2 - 74753774 AUP1
chr20 - 54944444 AURKA
chr1 - 1309109 AURKAIP1
chr1 - 220439520 AURKAPS1
chr17 - 8108048 AURKB
chr19 + 57742376 AURKC
chr7 + 69063904 AUTS2
chr15 - 34158427 AVEN
chr12 - 58191159 AVIL
chr7 + 32535037 AVL9
chr20 - 3063201 AVP
chr10 - 99437180 AVPI1
chr12 - 63536538 AVPR1A
chr1 + 206224282 AVPR1B
chrX + 153167984 AVPR2
chrX + 69454504 AWAT1
chrX - 69260391 AWAT2
chr16 - 337439 AXIN1
chr17 - 63524682 AXIN2
chr19 + 41732659 AXL
chr7 - 99564349 AZGP1
chr3 - 28363843 AZI2
chr8 - 103838529 AZIN1
chr19 + 827825 AZU1
chr15 + 45003684 B2M
chr3 - 160801670 B3GALNT1
chr1 - 235610504 B3GALNT2
chr2 + 168675181 B3GALT1
chr1 - 193147859 B3GALT2
chr6 + 33244916 B3GALT4
chr21 + 41029246 B3GALT5
chr1 + 1167628 B3GALT6
chr11 - 134248397 B3GAT1
chr6 - 71571068 B3GAT2
chr11 - 62382767 B3GAT3
chr2 + 62442655 B3GNT2
chr19 + 17905918 B3GNT3
chr12 + 122688227 B3GNT4
chr3 + 182971031 B3GNT5
chr11 + 76745384 B3GNT6
chr2 + 232260334 B3GNT7
chr19 - 41931263 B3GNT8
chr16 - 67182004 B3GNT9
chr17 - 80900024 B3GNTL1
chr12 - 58019677 B4GALNT1
chr17 + 47209821 B4GALNT2
chr12 + 569542 B4GALNT3
chr11 + 369794 B4GALNT4
chr9 - 33110638 B4GALT1
chr1 + 44445607 B4GALT2
chr1 - 161141099 B4GALT3
chr3 - 118930588 B4GALT4
chr20 - 48249482 B4GALT5
chr18 - 29202208 B4GALT6
chr5 + 177027118 B4GALT7
chr17 - 19246369 B9D1
chr19 - 41860321 B9D2
chr8 + 104152920 BAALC
chr9 - 104122698 BAAT
chr11 - 117156401 BACE1
chr21 + 42539727 BACE2
chr21 + 30677524 BACH1
chr6 - 90636246 BACH2
chr11 - 64037299 BAD
chr9 - 33252469 BAG1
chr6 + 57037103 BAG2
chr10 + 121410881 BAG3
chr8 + 38034105 BAG4
chr14 - 104022880 BAG5
chr21 - 11057795 BAGE
chr21 - 11020841 BAGE2
chr17 + 79373520 BAHCC1
chr15 + 40731919 BAHD1
chr17 + 79008946 BAIAP2
chr7 - 97920961 BAIAP2L1
chr22 - 38480895 BAIAP2L2
chr16 + 1386197 BAIAP3
chr6 - 33540322 BAK1
chr10 + 28966423 BAMBI
chr11 + 65769549 BANF1
chr20 + 17680592 BANF2
chr4 + 102734982 BANK1
chr16 + 87985037 BANP
chr3 - 52435019 BAP1
chr2 - 215590369 BARD1
chr9 + 135457992 BARHL1
chr1 - 91177578 BARHL2
chr9 - 96713908 BARX1
chr11 + 129245880 BARX2
chr5 + 17217669 BASP1
chr14 + 75988783 BATF
chr11 - 64755416 BATF2
chr1 - 212859758 BATF3
chr19 + 49458116 BAX
chr14 - 35221936 BAZ1A
chr7 - 72854727 BAZ1B
chr12 - 56989379 BAZ2A
chr2 - 160175489 BAZ2B
chr19 - 47724078 BBC3
chr11 + 27062508 BBOX1
chr11 + 66278118 BBS1
chr12 - 76738265 BBS10
chr4 + 123653856 BBS12
chr16 - 56518258 BBS2
chr15 + 72978519 BBS4
chr2 + 170336005 BBS5
chr4 - 122745483 BBS7
chr7 + 33169151 BBS9
chr3 + 107241782 BBX
chr19 + 45312315 BCAM
chr1 + 156611739 BCAN
chr7 + 107220421 BCAP29
chrX - 152965946 BCAP31
chr16 - 75262927 BCAR1
chr1 - 94027297 BCAR3
chr16 - 11913690 BCAR4
chr20 - 52560076 BCAS1
chr1 - 115110180 BCAS2
chr17 + 58755171 BCAS3
chr20 + 49411430 BCAS4
chr12 - 24962957 BCAT1
chr19 - 49298318 BCAT2
chr10 + 127512103 BCCIP
chr12 - 50229825 BCDIN3D
chr3 - 165490690 BCHE
chr19 + 41903693 BCKDHA
chr6 + 80816326 BCKDHB
chr16 + 31119614 BCKDK
chr1 - 85731459 BCL10
chr2 - 60678301 BCL11A
chr14 - 99635624 BCL11B
chr18 - 60790578 BCL2
chr15 - 80253231 BCL2A1
chr20 - 30252254 BCL2L1
chr15 - 52401465 BCL2L10
chr2 + 111878490 BCL2L11
chr19 + 50168398 BCL2L12
chr22 + 18121349 BCL2L13
chr12 + 12223877 BCL2L14
chr1 - 114419435 BCL2L15
chr14 + 23776068 BCL2L2
chr19 + 45251977 BCL3
chr3 - 187439164 BCL6
chr17 + 6926368 BCL6B
chr12 + 122459791 BCL7A
chr7 - 72950682 BCL7B
chr16 - 30845361 BCL7C
chr1 + 147013270 BCL9
chr11 - 118766850 BCL9L
chr6 - 136578000 BCLAF1
chr11 + 112046207 BCO2
chrX - 39910498 BCOR
chrX + 129139163 BCORL1
chr22 + 23522551 BCR
chr2 + 219524378 BCS1L
chrX - 70430034 BCYRN1
chr3 - 197236653 BDH1
chr4 - 103998781 BDH2
chr14 + 96722546 BDKRB1
chr14 + 96671134 BDKRB2
chr11 - 27676440 BDNF
chr5 + 70751441 BDP1
chr17 - 40962149 BECN1
chr14 - 101003483 BEGAIN
chrX - 18181050 BEND2
chr6 - 107386384 BEND3
chr4 - 42112869 BEND4
chr1 - 49193194 BEND5
chr6 + 56819772 BEND6
chr10 - 13480483 BEND7
chr11 + 61717355 BEST1
chr19 + 12863406 BEST2
chr12 - 70037287 BEST3
chr1 - 45249256 BEST4
chr7 - 93622553 BET1
chr11 - 202923 BET1L
chrX - 102317580 BEX1
chrX - 102564273 BEX2
chrX + 102470019 BEX4
chrX - 101408678 BEX5
chr16 + 14726667 BFAR
chr20 - 17474549 BFSP1
chr3 + 133118838 BFSP2
chr1 + 156211752 BGLAP
chrX + 152760346 BGN
chr7 + 97841565 BHLHA15
chrX + 101975641 BHLHB9
chr8 + 65492794 BHLHE22
chr20 - 61637330 BHLHE23
chr3 + 5021096 BHLHE40
chr12 - 26272958 BHLHE41
chr5 + 78407603 BHMT
chr5 + 78365546 BHMT2
chr10 + 60272903 BICC1
chr12 + 32260184 BICD1
chr9 - 95473644 BICD2
chr22 - 18216905 BID
chr22 + 43506753 BIK
chr2 - 127805598 BIN1
chr12 - 51674821 BIN2
chr8 - 22477946 BIN3
chr11 + 102217912 BIRC2
chr11 + 102188180 BIRC3
chr17 + 76210276 BIRC5
chr2 + 32582095 BIRC6
chr20 + 61867234 BIRC7
chr19 - 53792853 BIRC8
chr13 + 103451398 BIVM
chr20 - 36145818 BLCAP
chr11 - 121986061 BLID
chr8 + 11351520 BLK
chr15 + 91260557 BLM
chr17 - 28575212 BLMH
chr10 - 97951454 BLNK
chr12 + 56109817 BLOC1S1
chr10 - 102033034 BLOC1S2
chr19 + 45682002 BLOC1S3
chr7 + 43798271 BLVRA
chr19 - 40953690 BLVRB
chr1 + 169337116 BLZF1
chr15 - 40380091 BMF
chr10 + 22610138 BMI1
chr8 + 22022652 BMP1
chr2 - 69088047 BMP10
chrX + 50653734 BMP15
chr20 + 6748744 BMP2
chr4 + 79697531 BMP2K
chr4 + 81952118 BMP3
chr14 - 54416454 BMP4
chr6 - 55618450 BMP5
chr6 + 7726331 BMP6
chr20 - 55743808 BMP7
chr1 + 39957317 BMP8A
chr1 - 40222853 BMP8B
chr7 + 33944522 BMPER
chr10 + 88516395 BMPR1A
chr4 + 95917382 BMPR1B
chr2 + 203241049 BMPR2
chr10 + 43277953 BMS1
chr10 - 75458908 BMS1P4
chr10 - 46737612 BMS1P5
chrX + 15518899 BMX
chr15 - 83924654 BNC1
chr9 - 16409500 BNC2
chr5 + 172571444 BNIP1
chr15 - 59951344 BNIP2
chr10 - 133781186 BNIP3
chr8 + 26240522 BNIP3L
chr1 + 151009028 BNIPL
chr3 + 112930311 BOC
chr5 - 173034147 BOD1
chr2 + 242498145 BOK
chr1 + 149871134 BOLA1
chr16 - 29464908 BOLA2
chr2 - 74362527 BOLA3
chr2 - 198591602 BOLL
chr8 - 145486001 BOP1
chr3 + 138823026 BPESC1
chr7 + 134331530 BPGM
chr6 + 3118609 BPHL
chr20 + 36932551 BPI
chr1 - 220230823 BPNT1
chr17 + 65821779 BPTF
chrY + 26764150 BPY2
chr7 - 140433812 BRAF
chr12 - 112079949 BRAP
chr17 - 41196311 BRCA1
chr13 + 32889616 BRCA2
chrX + 154299694 BRCC3
chr22 - 50166925 BRD1
chr6_cox_hap2 + 4383202 BRD2
chr9 - 136895445 BRD3
chr19 - 15363805 BRD4
chr16 - 50352928 BRD7
chr6 + 118822535 BRD7P3
chr5 - 137492572 BRD8
chr5 - 863849 BRD9
chr1 + 92414927 BRDT
chr2 + 28113481 BRE
chr8 + 144779284 BREA2
chr14 - 105675622 BRF1
chr8 - 37701397 BRF2
chr7 + 97910978 BRI3
chr12 + 125478193 BRI3BP
chr17 - 59756546 BRIP1
chr5 + 34915819 BRIX1
chr11 - 66104803 BRMS1
chr14 + 36295596 BRMS1L
chr3 + 9773433 BRPF1
chr6 + 36164549 BRPF3
chrX + 135570124 BRS3
chr19 + 55795533 BRSK1
chr11 + 1411128 BRSK2
chr21 - 40557403 BRWD1
chrX - 79924986 BRWD3
chr11 - 62457733 BSCL2
chr1 - 32830233 BSDC1
chr19 + 571276 BSG
chr3 + 49591921 BSN
chr1 + 55464616 BSND
chr19 - 48471302 BSPH1
chr9 + 116111811 BSPRY
chr4 + 15704572 BST1
chr19 - 17513747 BST2
chr11 - 122848356 BSX
chr10 + 93683735 BTAF1
chr15 - 83685180 BTBD1
chr11 - 13409542 BTBD10
chr12 + 107974633 BTBD11
chr10 + 124030810 BTBD16
chr17 - 72352554 BTBD17
chr11 - 57510985 BTBD18
chr1 + 45274153 BTBD19
chr19 - 1985446 BTBD2
chr20 + 11871370 BTBD3
chr14 + 105714878 BTBD6
chr14 - 93703895 BTBD7
chr1 + 92545861 BTBD8
chr6 - 38136226 BTBD9
chr4 - 75669969 BTC
chr3 + 15642858 BTD
chr5 + 72794249 BTF3
chr1 + 52521856 BTF3L4
chr12 - 92534053 BTG1
chr1 + 203274663 BTG2
chr21 - 18965967 BTG3
chr11 - 111338255 BTG4
chrX - 100604434 BTK
chr3 - 112182812 BTLA
chr6 + 26501494 BTN1A1
chr6 + 26458131 BTN2A1
chr6 + 26383323 BTN2A2
chr6 + 26402464 BTN3A1
chr6 + 26365386 BTN3A2
chr6 + 26440699 BTN3A3
chr6_cox_hap2 - 3831536 BTNL2
chr5 + 180415844 BTNL3
chr5 + 180326076 BTNL8
chr5 + 180467224 BTNL9
chr10 + 103113789 BTRC
chr2 - 111395274 BUB1
chr15 + 40453209 BUB1B
chr10 + 124913759 BUB3
chr11 - 116618885 BUD13
chr7 + 99006600 BUD31
chr6 - 105544698 BVES
chr6 + 41888964 BYSL
chr2 + 201676907 BZW1
chr7 + 16685758 BZW2
chr10 - 45471708 C10orf10
chr10 - 73471457 C10orf105
chr10 + 63422718 C10orf107
chr10 + 77542518 C10orf11
chr10 - 15137383 C10orf111
chr10 - 21414691 C10orf113
chr10 - 124457224 C10orf120
chr10 - 50362768 C10orf128
chr10 - 45489379 C10orf25
chr10 + 71390002 C10orf35
chr10 + 50887683 C10orf53
chr10 - 75669726 C10orf55
chr10 + 99349449 C10orf62
chr10 - 23605519 C10orf67
chr10 + 50507186 C10orf71
chr10 - 103605355 C10orf76
chr10 - 118423206 C10orf82
chr10 - 124690418 C10orf88
chr10 - 128113573 C10orf90
chr10 + 134258713 C10orf91
chr10 - 104209593 C10orf95
chr10 + 85933553 C10orf99
chr11 + 111749947 C11orf1
chr11 - 8941622 C11orf16
chr11 - 2316869 C11orf21
chr11 - 68028802 C11orf24
chr11 - 4592652 C11orf40
chr11 + 6226797 C11orf42
chr11 - 128769459 C11orf45
chr11 + 46958239 C11orf49
chr11 + 111789600 C11orf52
chr11 + 111126706 C11orf53
chr11 + 93474759 C11orf54
chr11 + 111944967 C11orf57
chr11 + 16760147 C11orf58
chr11 + 122753235 C11orf63
chr11 - 108253726 C11orf65
chr11 - 65684282 C11orf68
chr11 + 101918168 C11orf70
chr11 - 114262169 C11orf71
chr11 + 36616321 C11orf74
chr11 + 66512206 C11orf80
chr11 + 63580845 C11orf84
chr11 + 66742753 C11orf86
chr11 + 109292845 C11orf87
chr11 + 111385509 C11orf88
chr11 - 45928085 C11orf94
chr11 - 63527363 C11orf95
chr12 + 53693469 C12orf10
chr12 + 88429267 C12orf29
chr12 - 4596895 C12orf4
chr12 + 40019968 C12orf40
chr12 - 103695718 C12orf42
chr12 - 121440224 C12orf43
chr12 + 105380097 C12orf45
chr12 - 117151124 C12orf49
chr12 - 88373815 C12orf50
chr12 + 48876285 C12orf54
chr12 - 64660762 C12orf56
chr12 + 7052664 C12orf57
chr12 + 14956505 C12orf60
chr12 + 123717843 C12orf65
chr12 - 64586418 C12orf66
chr12 - 27233989 C12orf71
chr12 - 104343980 C12orf73
chr12 + 93096618 C12orf74
chr12 + 105724413 C12orf75
chr12 - 110478981 C12orf76
chr12 - 25146364 C12orf77
chr14 - 76117232 C14orf1
chr14 - 57936017 C14orf105
chr14 + 23564682 C14orf119
chr14 + 96505660 C14orf132
chr14 + 91580356 C14orf159
chr14 + 52456227 C14orf166
chr14 + 99177949 C14orf177
chr14 + 78227172 C14orf178
chr14 + 105046020 C14orf180
chr14 - 104378624 C14orf2
chr14 + 45366506 C14orf28
chr14 - 58582865 C14orf37
chr14 - 60902673 C14orf39
chr14 + 105452615 C14orf79
chr14 + 105956191 C14orf80
chr14 - 23456109 C14orf93
chr15 + 93014906 C15orf32
chr15 + 75494220 C15orf39
chr15 - 83657714 C15orf40
chr15 + 36871803 C15orf41
chr15 + 45722726 C15orf48
chr15 - 40623652 C15orf52
chr15 + 38988798 C15orf53
chr15 + 39542869 C15orf54
chr15 - 40542865 C15orf56
chr15 - 40845111 C15orf57
chr15 - 74027771 C15orf59
chr15 + 67813521 C15orf61
chr15 + 41062158 C15orf62
chr16 + 15528324 C16orf45
chr16 - 81094584 C16orf46
chr16 + 22019455 C16orf52
chr16 - 29753785 C16orf54
chr16 - 31500795 C16orf58
chr16 + 2510114 C16orf59
chr16 + 19566736 C16orf62
chr16 + 67143795 C16orf70
chr16 + 4784288 C16orf71
chr16 + 9185536 C16orf72
chr16 - 85741123 C16orf74
chr16 + 49407718 C16orf78
chr16 + 27078218 C16orf82
chr16 + 67700716 C16orf86
chr16 - 46830518 C16orf87
chr16 - 5094122 C16orf89
chr16 - 3543483 C16orf90
chr16 - 1469744 C16orf91
chr16 + 30034654 C16orf92
chr17 + 6555058 C17orf100
chr17 - 32901141 C17orf102
chr17 + 41857802 C17orf105
chr17 + 4802947 C17orf107
chr17 - 56618947 C17orf47
chr17 + 6918055 C17orf49
chr17 + 34087915 C17orf50
chr17 - 21431570 C17orf51
chr17 + 42219269 C17orf53
chr17 - 65987214 C17orf58
chr17 - 80400462 C17orf62
chr17 + 58499864 C17orf64
chr17 - 54869273 C17orf67
chr17 + 7328934 C17orf74
chr17 - 30655459 C17orf75
chr17 + 72580817 C17orf77
chr17 + 35732927 C17orf78
chr17 + 71228760 C17orf80
chr17 + 59489111 C17orf82
chr17 + 260117 C17orf97
chr17 - 36991340 C17orf98
chr17 + 76142433 C17orf99
chr18 + 33552587 C18orf21
chr18 + 43753987 C18orf25
chr18 - 47007547 C18orf32
chr18 + 51884286 C18orf54
chr18 + 21083433 C18orf8
chr19 - 30189792 C19orf12
chr19 - 58469804 C19orf18
chr19 + 1275519 C19orf24
chr19 - 1473199 C19orf25
chr19 + 38794800 C19orf33
chr19 - 2274630 C19orf35
chr19 + 10959105 C19orf38
chr19 - 12841453 C19orf43
chr19 + 16607121 C19orf44
chr19 + 7562444 C19orf45
chr19 - 40826966 C19orf47
chr19 - 51300949 C19orf48
chr19 + 13885256 C19orf53
chr19 - 41246760 C19orf54
chr19 - 13993160 C19orf57
chr19 + 18699494 C19orf60
chr19 + 10196794 C19orf66
chr19 - 5678424 C19orf70
chr19 + 3539154 C19orf71
chr19 - 49621653 C19orf73
chr2 - 68269331 C1D
chr7 + 7222245 C1GALT1
chrX - 119759528 C1GALT1C1
chr1 + 22962998 C1QA
chr1 + 22979473 C1QB
chr17 - 5336098 C1QBP
chr1 + 22970109 C1QC
chr17 - 43037060 C1QL1
chr2 - 119913818 C1QL2
chr10 - 16555741 C1QL3
chr12 - 49726199 C1QL4
chr17 + 77021681 C1QTNF1
chr5 - 159774774 C1QTNF2
chr5 - 34017962 C1QTNF3
chr11 - 47611215 C1QTNF4
chr22 - 37576205 C1QTNF6
chr4 + 15376174 C1QTNF7
chr16 - 1138225 C1QTNF8
